,Age,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,LastContactDay,LastContactMonth,NoOfContacts,PrevAttempts,Outcome,CarInsurance,Duration,age_group,duration_status,Month,Job_None,Job_admin.,Job_blue-collar,Job_entrepreneur,Job_housemaid,Job_management,Job_retired,Job_self-employed,Job_services,Job_student,Job_technician,Job_unemployed
36,31,1,1,0,0,1,1,1,21,may,3,0,0,0,987.0,1,1,5,0,0,1,0,0,0,0,0,0,0,0,0
38,41,2,2,0,0,1,0,1,18,jul,3,0,0,1,640.0,2,1,7,0,0,1,0,0,0,0,0,0,0,0,0
39,35,1,1,0,0,1,1,1,17,nov,3,0,0,0,70.0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0
40,32,1,1,0,2,1,0,1,29,may,2,0,0,0,129.0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0
41,40,1,1,0,0,1,0,1,29,may,1,0,0,0,134.0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0
42,35,0,3,0,1,0,0,1,5,feb,1,0,0,1,699.0,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0
43,40,1,1,0,1,1,0,1,15,may,1,1,0,1,432.0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0
44,60,1,3,0,0,0,0,1,21,aug,1,0,0,0,36.0,3,0,8,0,0,0,0,0,1,0,0,0,0,0,0
46,42,2,1,0,0,1,0,1,23,jul,1,0,0,1,761.0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0
47,79,2,2,0,0,0,0,1,9,oct,2,0,0,1,1106.0,4,1,10,0,0,0,0,0,0,1,0,0,0,0,0
48,46,0,1,0,0,0,0,1,2,jun,4,0,0,0,71.0,2,0,6,0,1,0,0,0,0,0,0,0,0,0,0
49,33,2,1,0,0,0,0,1,4,feb,4,0,0,0,207.0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
51,46,1,2,0,0,0,0,1,17,jun,1,0,0,0,72.0,2,0,6,0,0,0,0,1,0,0,0,0,0,0,0
52,47,1,1,0,2,1,1,1,20,nov,1,0,0,1,454.0,2,1,11,0,0,0,0,0,0,0,1,0,0,0,0
53,78,1,1,0,2,0,0,0,20,may,3,0,0,1,351.0,4,1,5,0,0,0,0,0,0,1,0,0,0,0,0
54,31,1,1,0,0,0,1,1,29,jan,1,0,0,0,124.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
55,39,1,1,0,0,0,0,0,2,feb,3,0,0,1,1420.0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0
56,31,1,1,0,0,1,0,1,21,nov,1,5,0,0,283.0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0
57,46,2,1,0,0,0,1,1,13,oct,1,1,0,0,92.0,2,0,10,0,0,0,1,0,0,0,0,0,0,0,0
58,34,0,3,0,3,1,0,1,18,may,1,0,0,1,612.0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0
59,52,1,1,0,3,0,0,1,26,may,1,0,0,0,309.0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,1
62,18,0,2,0,0,0,0,1,12,aug,1,0,0,1,267.0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
65,57,1,3,0,0,0,0,1,1,jun,1,0,0,1,295.0,3,0,6,0,0,0,0,0,1,0,0,0,0,0,0
66,28,0,1,0,1,0,0,1,29,jan,1,0,0,0,25.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
67,30,1,3,0,0,1,0,1,20,apr,1,0,0,0,185.0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
68,41,1,1,0,1,1,0,1,15,apr,1,0,0,1,135.0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0
69,58,1,3,0,2,1,0,1,18,jun,1,0,0,0,316.0,3,0,6,0,0,0,0,0,1,0,0,0,0,0,0
70,23,1,3,0,0,1,0,1,7,may,2,0,0,1,1391.0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0
71,29,1,1,0,0,1,0,1,26,may,2,0,0,0,341.0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
72,25,0,1,0,0,0,0,1,2,sep,7,2,2,0,206.0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0
75,55,2,1,0,2,0,0,1,10,feb,1,1,0,1,169.0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0
76,32,1,3,0,0,1,0,1,23,jun,1,1,2,0,181.0,1,0,6,0,0,0,0,0,0,0,0,0,0,1,0
77,36,1,3,0,0,1,0,1,30,may,1,0,0,0,312.0,1,0,5,0,0,0,0,0,1,0,0,0,0,0,0
79,39,0,1,0,0,1,0,1,29,may,1,0,0,0,322.0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0
80,49,0,1,0,0,1,0,1,15,may,3,0,0,1,1257.0,2,1,5,0,1,0,0,0,0,0,0,0,0,0,0
81,37,1,3,0,0,0,0,1,27,aug,6,0,0,0,57.0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0
82,47,1,1,0,0,1,1,1,12,may,2,0,0,1,289.0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0
84,49,1,2,0,0,0,0,1,29,jan,2,0,0,1,1917.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1
87,33,1,1,0,0,1,0,1,13,may,2,0,0,1,1207.0,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0
88,40,0,1,0,0,1,0,1,15,may,3,6,2,0,460.0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0
89,41,0,1,0,0,0,0,1,24,jul,1,0,0,1,1204.0,2,1,7,0,0,0,1,0,0,0,0,0,0,0,0
90,56,1,3,0,0,1,1,1,6,may,1,0,0,1,1201.0,3,1,5,0,0,0,0,0,1,0,0,0,0,0,0
92,43,2,2,0,0,1,0,1,27,may,4,0,0,0,112.0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0
93,46,2,1,0,0,1,0,0,21,nov,2,0,0,0,220.0,2,0,11,0,0,0,0,0,0,0,0,1,0,0,0
94,39,1,1,0,0,1,0,1,23,may,3,0,0,0,160.0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0
95,44,1,3,0,0,0,0,1,25,jul,12,0,0,0,63.0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0
96,48,2,3,0,0,0,1,1,29,jan,2,0,0,0,251.0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
97,39,0,3,0,0,0,0,1,3,jun,1,0,0,1,539.0,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0
98,46,1,2,0,2,0,0,0,7,jul,5,0,0,0,46.0,2,0,7,0,0,1,0,0,0,0,0,0,0,0,0
99,19,0,2,0,0,0,0,1,18,jan,2,4,0,0,177.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
100,36,1,3,0,0,0,0,1,16,apr,4,0,0,0,76.0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0
101,43,1,1,0,2,1,0,1,13,may,2,0,0,1,1721.0,2,1,5,0,0,0,0,0,0,0,0,0,0,1,0
105,33,1,3,0,1,0,0,1,4,aug,1,0,0,1,600.0,1,1,8,0,0,0,0,0,0,0,0,0,0,1,0
106,41,1,1,0,0,1,0,1,2,feb,1,0,0,0,138.0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
107,31,1,3,0,0,0,0,1,20,aug,2,0,0,0,195.0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0
108,52,1,3,0,0,0,0,1,25,may,1,0,0,1,272.0,3,0,5,0,0,0,0,0,1,0,0,0,0,0,0
109,48,0,1,0,0,0,1,0,14,jul,4,0,0,0,123.0,2,0,7,0,0,1,0,0,0,0,0,0,0,0,0
110,55,1,1,0,0,1,0,1,7,jul,4,0,0,1,494.0,3,1,7,0,0,1,0,0,0,0,0,0,0,0,0
111,50,1,1,0,2,0,0,1,2,jun,2,0,0,1,160.0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0
113,31,1,3,0,1,1,0,1,2,mar,2,0,0,0,73.0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0
114,33,1,3,0,0,1,0,1,26,may,3,0,0,0,159.0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0
115,31,1,3,0,0,0,0,1,30,apr,1,3,1,1,297.0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0
116,37,1,1,0,2,1,1,1,30,jul,4,0,0,1,543.0,1,1,7,0,0,0,0,0,0,0,0,1,0,0,0
117,62,1,1,0,0,0,0,1,4,feb,5,1,1,1,94.0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0
118,33,1,3,0,0,0,0,1,10,aug,1,2,0,1,447.0,1,1,8,0,0,0,0,0,1,0,0,0,0,0,0
120,37,0,3,0,3,0,0,1,6,feb,1,0,0,1,141.0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0
121,46,2,3,0,0,0,0,1,30,dec,2,0,0,1,369.0,2,1,12,0,0,0,0,0,1,0,0,0,0,0,0
122,64,1,3,0,1,0,0,0,9,nov,1,0,0,1,201.0,4,0,11,0,0,0,1,0,0,0,0,0,0,0,0
123,43,1,2,0,0,0,0,1,20,jun,2,0,0,1,973.0,2,1,6,0,0,0,0,0,0,0,0,0,0,0,1
124,57,1,2,0,1,0,0,1,15,sep,2,2,1,1,107.0,3,0,9,0,0,1,0,0,0,0,0,0,0,0,0
125,58,2,2,0,0,0,1,1,10,jul,5,0,0,0,161.0,3,0,7,0,0,0,0,0,0,1,0,0,0,0,0
126,32,2,3,0,0,0,0,1,22,aug,2,0,0,1,671.0,1,1,8,0,0,0,0,0,0,0,0,0,0,1,0
127,43,1,1,0,0,1,1,1,20,nov,2,2,2,1,1258.0,2,1,11,0,0,1,0,0,0,0,0,0,0,0,0
128,30,0,3,0,2,0,0,1,21,nov,1,0,0,1,1571.0,0,1,11,0,0,0,0,0,0,0,0,0,1,0,0
129,45,1,1,0,0,1,0,1,19,aug,2,0,0,0,102.0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0
130,56,1,3,0,0,0,1,0,9,jul,3,0,0,0,246.0,3,0,7,0,0,0,0,0,1,0,0,0,0,0,0
131,44,1,3,0,1,0,0,1,28,dec,1,0,0,1,893.0,2,1,12,0,0,0,0,0,1,0,0,0,0,0,0
132,61,1,3,0,3,0,0,1,13,mar,1,0,0,0,432.0,4,1,3,0,0,0,0,0,1,0,0,0,0,0,0
133,37,2,3,0,1,1,0,1,16,apr,1,1,0,0,309.0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0
134,56,1,1,0,0,0,1,1,9,jul,1,0,0,0,77.0,3,0,7,0,0,0,0,0,0,1,0,0,0,0,0
135,46,1,1,0,0,0,0,1,20,aug,1,4,2,1,293.0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0
136,39,2,3,0,1,0,0,1,21,nov,1,0,0,1,648.0,1,1,11,0,0,0,0,0,1,0,0,0,0,0,0
137,27,0,1,0,0,0,0,1,3,jul,1,0,0,1,203.0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
138,33,0,2,0,0,1,0,1,14,may,1,2,0,0,74.0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0
140,45,1,1,0,1,1,1,1,12,may,2,0,0,0,180.0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0
141,30,0,1,0,0,0,0,1,4,feb,1,0,0,0,515.0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
142,46,1,1,0,0,0,1,1,28,jul,3,0,0,0,31.0,2,0,7,0,0,0,0,0,0,0,0,1,0,0,0
144,62,1,1,0,2,0,0,0,29,jan,2,0,0,1,403.0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0
145,24,0,1,0,0,0,0,1,13,jul,1,1,2,1,475.0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0
146,47,0,3,0,0,0,0,0,29,oct,3,3,2,1,220.0,2,0,10,0,0,0,0,0,1,0,0,0,0,0,0
147,32,0,1,0,0,1,1,1,8,may,1,0,0,0,134.0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0
148,38,1,2,0,2,0,0,1,9,jun,2,0,0,0,553.0,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0
149,36,0,3,0,0,1,0,1,15,may,1,8,0,0,185.0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0
150,57,2,3,0,0,0,0,1,27,aug,4,1,0,1,700.0,3,1,8,0,0,0,0,0,1,0,0,0,0,0,0
153,57,1,2,0,1,0,0,1,2,jun,2,0,0,1,482.0,3,1,6,0,0,1,0,0,0,0,0,0,0,0,0
154,25,0,2,0,0,0,0,1,12,apr,3,0,0,1,176.0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
155,62,1,1,0,0,0,0,1,4,aug,1,8,1,1,288.0,4,0,8,0,0,0,0,0,0,1,0,0,0,0,0
156,45,1,1,0,2,1,0,1,3,jun,1,0,0,0,110.0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0
157,56,1,1,0,0,1,1,1,21,nov,2,3,2,0,19.0,3,0,11,0,0,1,0,0,0,0,0,0,0,0,0
159,45,0,2,0,0,0,0,1,13,apr,1,0,0,1,122.0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0
160,63,1,1,0,0,0,0,1,27,may,2,0,0,1,417.0,4,1,5,0,0,1,0,0,0,0,0,0,0,0,0
161,57,1,1,0,1,0,0,1,19,jun,4,0,0,0,93.0,3,0,6,0,0,0,0,0,0,1,0,0,0,0,0
162,60,1,1,0,0,0,0,1,20,aug,4,0,0,0,70.0,3,0,8,0,0,0,0,0,0,1,0,0,0,0,0
164,56,1,1,0,1,0,0,1,20,jun,6,0,0,0,13.0,3,0,6,0,0,1,0,0,0,0,0,0,0,0,0
165,26,0,1,0,0,1,0,1,9,may,1,0,0,1,654.0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
166,58,2,1,0,0,0,1,1,9,feb,2,0,0,0,60.0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1
167,46,1,1,0,0,0,0,1,22,aug,2,0,0,1,565.0,2,1,8,0,0,0,0,0,0,0,0,1,0,0,0
168,28,0,1,0,1,0,0,1,20,apr,5,0,0,1,227.0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
169,57,1,1,0,0,0,1,1,3,jul,3,0,0,0,230.0,3,0,7,0,0,0,0,0,0,0,0,0,0,1,0
170,36,0,1,0,1,0,0,0,31,jul,7,0,0,0,55.0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0
173,38,1,1,0,0,1,0,1,16,nov,4,0,0,1,1556.0,1,1,11,0,0,0,0,0,0,0,0,0,0,1,0
174,34,0,3,0,2,1,0,1,28,aug,8,0,0,0,373.0,1,1,8,0,0,0,0,0,1,0,0,0,0,0,0
175,27,0,1,0,0,1,0,1,9,may,3,0,0,0,44.0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
176,29,0,3,0,1,0,0,1,13,oct,1,5,1,1,190.0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0
177,31,1,3,0,1,1,0,1,8,may,3,0,0,0,238.0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0
179,60,1,3,0,0,0,0,1,26,aug,1,0,0,1,624.0,3,1,8,0,0,0,0,0,0,1,0,0,0,0,0
180,32,1,1,0,0,1,1,1,6,may,1,0,0,0,144.0,1,0,5,0,0,0,0,0,0,0,0,1,0,0,0
182,45,1,1,0,0,0,0,1,4,may,1,2,1,1,552.0,2,1,5,0,1,0,0,0,0,0,0,0,0,0,0
184,38,1,1,0,0,0,0,1,14,apr,1,0,0,1,173.0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0
185,30,0,3,0,0,1,0,1,25,oct,1,2,1,1,304.0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0
186,31,1,3,0,2,0,0,1,11,aug,3,0,0,0,117.0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0
190,51,2,1,0,0,0,0,1,15,may,3,0,0,0,71.0,3,0,5,0,0,1,0,0,0,0,0,0,0,0,0
191,35,2,2,0,0,0,0,1,20,jun,4,0,0,0,12.0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,1
192,41,0,1,0,0,1,0,1,18,sep,1,2,1,0,22.0,2,0,9,0,0,0,0,0,0,0,0,0,1,0,0
194,33,0,3,0,1,0,0,1,29,jun,2,0,0,1,421.0,1,1,6,0,0,0,0,0,1,0,0,0,0,0,0
195,53,1,1,0,0,1,0,1,18,may,1,0,0,1,387.0,3,1,5,0,1,0,0,0,0,0,0,0,0,0,0
196,45,1,3,0,0,1,1,1,7,jul,2,0,0,0,461.0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0
198,43,1,3,0,2,0,0,1,16,nov,1,1,0,1,380.0,2,1,11,0,0,0,0,0,1,0,0,0,0,0,0
199,31,1,2,0,0,1,0,1,15,may,1,3,0,0,148.0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0
202,40,0,3,0,0,0,0,1,7,jul,2,0,0,1,180.0,1,0,7,0,0,0,0,0,0,0,0,0,0,1,0
203,60,1,1,0,0,0,0,1,12,aug,4,0,0,0,355.0,3,1,8,0,1,0,0,0,0,0,0,0,0,0,0
206,55,2,1,1,0,0,0,1,28,jan,1,0,0,1,1048.0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0
207,41,1,2,0,2,1,0,1,9,apr,1,1,0,0,268.0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0
208,46,1,3,0,0,0,0,1,30,apr,1,1,0,1,970.0,2,1,4,0,0,0,0,0,1,0,0,0,0,0,0
210,51,1,1,0,0,1,1,1,16,jul,5,2,0,0,84.0,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0
212,34,1,1,0,0,1,0,1,20,apr,2,1,0,0,579.0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0
213,40,1,1,0,0,0,0,1,31,jul,5,0,0,1,1142.0,1,1,7,0,1,0,0,0,0,0,0,0,0,0,0
214,31,0,1,0,0,1,0,1,5,jun,2,0,0,1,548.0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,1
215,32,0,3,0,0,0,0,1,6,jul,3,2,0,1,335.0,1,0,7,0,0,0,0,0,1,0,0,0,0,0,0
216,37,0,1,0,0,0,0,1,4,feb,1,0,0,0,301.0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0
218,56,1,3,0,0,0,0,1,3,mar,2,0,0,1,96.0,3,0,3,0,0,0,0,0,0,1,0,0,0,0,0
220,45,1,3,0,0,0,0,1,10,nov,2,1,1,1,182.0,2,0,11,0,0,0,0,0,1,0,0,0,0,0,0
221,32,1,1,0,0,1,1,1,15,may,3,0,0,1,532.0,1,1,5,0,0,0,0,0,1,0,0,0,0,0,0
222,41,1,3,0,0,1,0,1,10,jul,1,0,0,0,783.0,2,1,7,0,0,0,0,0,1,0,0,0,0,0,0
225,46,1,1,0,0,0,1,1,18,jun,1,0,0,0,129.0,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0
227,26,0,3,0,0,1,0,1,15,may,1,1,0,0,55.0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
228,29,0,3,0,1,1,0,1,8,may,3,0,0,1,606.0,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
229,40,2,3,0,0,1,0,1,3,feb,4,3,2,0,267.0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0
230,29,0,3,0,1,0,0,1,19,aug,1,0,0,1,634.0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0
231,33,1,1,0,0,1,1,1,10,aug,1,4,0,0,162.0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0
234,27,0,1,0,0,0,0,1,1,jul,2,0,0,1,650.0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0
235,40,1,3,0,0,0,0,1,20,nov,1,0,0,0,57.0,1,0,11,0,0,0,1,0,0,0,0,0,0,0,0
236,58,1,1,0,2,0,0,1,17,nov,2,0,0,0,91.0,3,0,11,0,1,0,0,0,0,0,0,0,0,0,0
238,40,1,1,0,0,1,0,1,8,aug,3,0,0,0,119.0,1,0,8,0,0,0,0,0,0,0,0,0,0,1,0
239,41,0,0,0,0,0,0,1,27,oct,1,1,1,1,143.0,2,0,10,1,0,0,0,0,0,0,0,0,0,0,0
240,49,1,3,0,0,1,1,1,19,may,3,0,0,0,163.0,2,0,5,0,0,0,0,0,1,0,0,0,0,0,0
241,41,1,1,0,0,1,0,1,19,may,1,0,0,0,102.0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0
242,57,1,1,0,0,0,0,1,19,jun,1,0,0,0,73.0,3,0,6,0,0,0,0,0,0,0,0,0,0,1,0
243,59,1,2,0,2,1,0,1,5,aug,3,0,0,1,515.0,3,1,8,0,0,0,0,0,0,1,0,0,0,0,0
244,48,1,1,0,1,1,0,1,4,feb,1,2,0,1,489.0,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0
246,44,1,1,0,0,1,0,1,30,apr,1,0,0,1,347.0,2,0,4,0,0,1,0,0,0,0,0,0,0,0,0
248,33,1,1,0,0,1,0,1,26,may,2,0,0,0,238.0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0
249,33,2,3,0,0,0,0,1,8,may,2,0,0,1,398.0,1,1,5,0,1,0,0,0,0,0,0,0,0,0,0
251,39,1,1,0,0,1,0,1,30,jul,2,0,0,1,650.0,1,1,7,0,0,1,0,0,0,0,0,0,0,0,0
252,39,1,3,0,1,0,0,1,12,jun,5,0,0,1,651.0,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0
253,24,0,1,0,1,0,0,1,7,sep,2,0,0,0,107.0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1
257,36,1,2,0,0,1,0,1,23,may,2,0,0,0,154.0,1,0,5,0,0,1,0,0,0,0,0,0,0,0,0
258,43,1,1,0,0,0,1,1,16,jul,11,0,0,1,1019.0,2,1,7,0,0,1,0,0,0,0,0,0,0,0,0
259,35,0,3,0,1,0,0,1,14,oct,2,0,0,0,166.0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0
260,48,1,2,0,0,0,0,1,19,jun,2,0,0,0,136.0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0
261,48,1,1,0,0,0,1,1,23,jul,1,0,0,0,371.0,2,1,7,0,0,0,0,0,0,0,0,0,0,1,0
262,41,1,1,1,0,0,1,1,24,jul,1,0,0,1,651.0,2,1,7,0,0,1,0,0,0,0,0,0,0,0,0
264,32,1,3,0,0,0,0,1,19,jul,11,0,0,1,187.0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0
265,51,1,1,0,0,1,0,1,2,jun,3,0,0,0,151.0,3,0,6,0,1,0,0,0,0,0,0,0,0,0,0
266,47,1,3,0,0,1,0,1,15,may,1,0,0,0,142.0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0
267,44,1,1,0,0,0,0,0,30,jul,5,0,0,0,77.0,2,0,7,0,0,0,0,0,0,0,0,1,0,0,0
269,61,1,2,0,0,0,0,1,6,aug,2,3,1,1,562.0,4,1,8,0,0,1,0,0,0,0,0,0,0,0,0
270,41,1,1,0,0,1,0,1,2,jun,3,0,0,0,82.0,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0
271,38,1,1,0,2,1,0,1,2,jun,1,0,0,0,384.0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0
272,54,1,3,0,0,0,0,1,19,nov,1,0,0,0,89.0,3,0,11,0,0,0,0,1,0,0,0,0,0,0,0
273,48,2,1,0,0,0,0,1,10,feb,2,2,1,1,406.0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1
274,44,0,3,0,0,0,0,1,19,jul,4,2,2,1,204.0,2,0,7,0,0,0,0,0,1,0,0,0,0,0,0
276,55,1,1,0,1,1,0,1,16,may,4,0,0,0,1023.0,3,1,5,0,0,0,0,0,0,0,0,0,0,1,0
