,Marital,Education,Default,Balance,HHInsurance,CarLoan,Communication,NoOfContacts,PrevAttempts,Outcome,CarInsurance,Duration,age_group,duration_status,Month,Job_None,Job_admin.,Job_blue-collar,Job_entrepreneur,Job_housemaid,Job_management,Job_retired,Job_self-employed,Job_services,Job_student,Job_technician,Job_unemployed
141,0,1.0,0,0,0,0,1,1,0,0,0,515.0,0.0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
142,1,1.0,0,0,0,1,1,3,0,0,0,31.0,2.0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
144,1,1.0,0,2,0,0,0,2,0,0,1,403.0,4.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
145,0,1.0,0,0,0,0,1,1,1,2,1,475.0,0.0,1,7,0,0,0,0,0,0,0,0,0,1,0,0
146,0,3.0,0,0,0,0,0,3,3,2,1,220.0,2.0,0,10,0,0,0,0,0,1,0,0,0,0,0,0
147,0,1.0,0,0,1,1,1,1,0,0,0,134.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
148,1,2.0,0,2,0,0,1,2,0,0,0,553.0,1.0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
149,0,3.0,0,0,1,0,1,1,8,0,0,185.0,1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
150,2,3.0,0,0,0,0,1,4,1,0,1,700.0,3.0,1,8,0,0,0,0,0,1,0,0,0,0,0,0
153,1,2.0,0,1,0,0,1,2,0,0,1,482.0,3.0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
154,0,2.0,0,0,0,0,1,3,0,0,1,176.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,1
155,1,1.0,0,0,0,0,1,1,8,1,1,288.0,4.0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
156,1,1.0,0,2,1,0,1,1,0,0,0,110.0,2.0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
157,1,1.0,0,0,1,1,1,2,3,2,0,19.0,3.0,0,11,0,0,1,0,0,0,0,0,0,0,0,0
159,0,2.0,0,0,0,0,1,1,0,0,1,122.0,2.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
160,1,1.0,0,0,0,0,1,2,0,0,1,417.0,4.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
161,1,1.0,0,1,0,0,1,4,0,0,0,93.0,3.0,0,6,0,0,0,0,0,0,1,0,0,0,0,0
162,1,1.0,0,0,0,0,1,4,0,0,0,70.0,3.0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
164,1,1.0,0,1,0,0,1,6,0,0,0,13.0,3.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
165,0,1.0,0,0,1,0,1,1,0,0,1,654.0,0.0,1,5,0,0,1,0,0,0,0,0,0,0,0,0
166,2,1.0,0,0,0,1,1,2,0,0,0,60.0,3.0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
167,1,1.0,0,0,0,0,1,2,0,0,1,565.0,2.0,1,8,0,0,0,0,0,0,0,0,1,0,0,0
168,0,1.0,0,1,0,0,1,5,0,0,1,227.0,0.0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
169,1,1.0,0,0,0,1,1,3,0,0,0,230.0,3.0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
170,0,1.0,0,1,0,0,0,7,0,0,0,55.0,1.0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
173,1,1.0,0,0,1,0,1,4,0,0,1,1556.0,1.0,1,11,0,0,0,0,0,0,0,0,0,0,1,0
174,0,3.0,0,2,1,0,1,8,0,0,0,373.0,1.0,1,8,0,0,0,0,0,1,0,0,0,0,0,0
175,0,1.0,0,0,1,0,1,3,0,0,0,44.0,0.0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
176,0,3.0,0,1,0,0,1,1,5,1,1,190.0,0.0,0,10,0,0,0,0,0,0,0,1,0,0,0,0
177,1,3.0,0,1,1,0,1,3,0,0,0,238.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
179,1,3.0,0,0,0,0,1,1,0,0,1,624.0,3.0,1,8,0,0,0,0,0,0,1,0,0,0,0,0
180,1,1.0,0,0,1,1,1,1,0,0,0,144.0,1.0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
182,1,1.0,0,0,0,0,1,1,2,1,1,552.0,2.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0
184,1,1.0,0,0,0,0,1,1,0,0,1,173.0,1.0,0,4,0,0,0,0,0,0,0,0,0,0,1,0
185,0,3.0,0,0,1,0,1,1,2,1,1,304.0,0.0,0,10,0,0,0,0,0,1,0,0,0,0,0,0
186,1,3.0,0,2,0,0,1,3,0,0,0,117.0,1.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
190,2,1.0,0,0,0,0,1,3,0,0,0,71.0,3.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
191,2,2.0,0,0,0,0,1,4,0,0,0,12.0,1.0,0,6,0,0,0,0,0,0,0,0,0,0,0,1
192,0,1.0,0,0,1,0,1,1,2,1,0,22.0,2.0,0,9,0,0,0,0,0,0,0,0,0,1,0,0
194,0,3.0,0,1,0,0,1,2,0,0,1,421.0,1.0,1,6,0,0,0,0,0,1,0,0,0,0,0,0
195,1,1.0,0,0,1,0,1,1,0,0,1,387.0,3.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0
196,1,3.0,0,0,1,1,1,2,0,0,0,461.0,2.0,1,7,0,0,0,0,0,1,0,0,0,0,0,0
198,1,3.0,0,2,0,0,1,1,1,0,1,380.0,2.0,1,11,0,0,0,0,0,1,0,0,0,0,0,0
199,1,2.0,0,0,1,0,1,1,3,0,0,148.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
202,0,3.0,0,0,0,0,1,2,0,0,1,180.0,1.0,0,7,0,0,0,0,0,0,0,0,0,0,1,0
203,1,1.0,0,0,0,0,1,4,0,0,0,355.0,3.0,1,8,0,1,0,0,0,0,0,0,0,0,0,0
206,2,1.0,1,0,0,0,1,1,0,0,1,1048.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
207,1,2.0,0,2,1,0,1,1,1,0,0,268.0,2.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
208,1,3.0,0,0,0,0,1,1,1,0,1,970.0,2.0,1,4,0,0,0,0,0,1,0,0,0,0,0,0
210,1,1.0,0,0,1,1,1,5,2,0,0,84.0,3.0,0,7,0,1,0,0,0,0,0,0,0,0,0,0
212,1,1.0,0,0,1,0,1,2,1,0,0,579.0,1.0,1,4,0,0,0,0,0,0,0,0,1,0,0,0
213,1,1.0,0,0,0,0,1,5,0,0,1,1142.0,1.0,1,7,0,1,0,0,0,0,0,0,0,0,0,0
214,0,1.0,0,0,1,0,1,2,0,0,1,548.0,1.0,1,6,0,0,0,0,0,0,0,0,0,0,0,1
215,0,3.0,0,0,0,0,1,3,2,0,1,335.0,1.0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
216,0,1.0,0,0,0,0,1,1,0,0,0,301.0,1.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
218,1,3.0,0,0,0,0,1,2,0,0,1,96.0,3.0,0,3,0,0,0,0,0,0,1,0,0,0,0,0
220,1,3.0,0,0,0,0,1,2,1,1,1,182.0,2.0,0,11,0,0,0,0,0,1,0,0,0,0,0,0
221,1,1.0,0,0,1,1,1,3,0,0,1,532.0,1.0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
222,1,3.0,0,0,1,0,1,1,0,0,0,783.0,2.0,1,7,0,0,0,0,0,1,0,0,0,0,0,0
225,1,1.0,0,0,0,1,1,1,0,0,0,129.0,2.0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
227,0,3.0,0,0,1,0,1,1,1,0,0,55.0,0.0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
228,0,3.0,0,1,1,0,1,3,0,0,1,606.0,0.0,1,5,0,0,0,0,0,1,0,0,0,0,0,0
229,2,3.0,0,0,1,0,1,4,3,2,0,267.0,1.0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
230,0,3.0,0,1,0,0,1,1,0,0,1,634.0,0.0,1,8,0,0,0,0,0,1,0,0,0,0,0,0
231,1,1.0,0,0,1,1,1,1,4,0,0,162.0,1.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
234,0,1.0,0,0,0,0,1,2,0,0,1,650.0,0.0,1,7,0,0,0,0,0,0,0,0,0,0,1,0
235,1,3.0,0,0,0,0,1,1,0,0,0,57.0,1.0,0,11,0,0,0,1,0,0,0,0,0,0,0,0
236,1,1.0,0,2,0,0,1,2,0,0,0,91.0,3.0,0,11,0,1,0,0,0,0,0,0,0,0,0,0
238,1,1.0,0,0,1,0,1,3,0,0,0,119.0,1.0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
239,0,,0,0,0,0,1,1,1,1,1,143.0,2.0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
240,1,3.0,0,0,1,1,1,3,0,0,0,163.0,2.0,0,5,0,0,0,0,0,1,0,0,0,0,0,0
241,1,1.0,0,0,1,0,1,1,0,0,0,102.0,2.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
242,1,1.0,0,0,0,0,1,1,0,0,0,73.0,3.0,0,6,0,0,0,0,0,0,0,0,0,0,1,0
243,1,2.0,0,2,1,0,1,3,0,0,1,515.0,3.0,1,8,0,0,0,0,0,0,1,0,0,0,0,0
244,1,1.0,0,1,1,0,1,1,2,0,1,489.0,2.0,1,2,0,0,1,0,0,0,0,0,0,0,0,0
246,1,1.0,0,0,1,0,1,1,0,0,1,347.0,2.0,0,4,0,0,1,0,0,0,0,0,0,0,0,0
248,1,1.0,0,0,1,0,1,2,0,0,0,238.0,1.0,0,5,0,0,0,0,0,0,0,0,0,0,1,0
249,2,3.0,0,0,0,0,1,2,0,0,1,398.0,1.0,1,5,0,1,0,0,0,0,0,0,0,0,0,0
251,1,1.0,0,0,1,0,1,2,0,0,1,650.0,1.0,1,7,0,0,1,0,0,0,0,0,0,0,0,0
252,1,3.0,0,1,0,0,1,5,0,0,1,651.0,1.0,1,6,0,0,0,0,0,0,0,1,0,0,0,0
253,0,1.0,0,1,0,0,1,2,0,0,0,107.0,0.0,0,9,0,0,0,0,0,0,0,0,0,0,0,1
257,1,2.0,0,0,1,0,1,2,0,0,0,154.0,1.0,0,5,0,0,1,0,0,0,0,0,0,0,0,0
258,1,1.0,0,0,0,1,1,11,0,0,1,1019.0,2.0,1,7,0,0,1,0,0,0,0,0,0,0,0,0
259,0,3.0,0,1,0,0,1,2,0,0,0,166.0,1.0,0,10,0,0,1,0,0,0,0,0,0,0,0,0
260,1,2.0,0,0,0,0,1,2,0,0,0,136.0,2.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
261,1,1.0,0,0,0,1,1,1,0,0,0,371.0,2.0,1,7,0,0,0,0,0,0,0,0,0,0,1,0
262,1,1.0,1,0,0,1,1,1,0,0,1,651.0,2.0,1,7,0,0,1,0,0,0,0,0,0,0,0,0
264,1,3.0,0,0,0,0,1,11,0,0,1,187.0,1.0,0,7,0,0,0,1,0,0,0,0,0,0,0,0
265,1,1.0,0,0,1,0,1,3,0,0,0,151.0,3.0,0,6,0,1,0,0,0,0,0,0,0,0,0,0
266,1,3.0,0,0,1,0,1,1,0,0,0,142.0,2.0,0,5,0,0,0,0,0,0,0,1,0,0,0,0
267,1,1.0,0,0,0,0,0,5,0,0,0,77.0,2.0,0,7,0,0,0,0,0,0,0,0,1,0,0,0
269,1,2.0,0,0,0,0,1,2,3,1,1,562.0,4.0,1,8,0,0,1,0,0,0,0,0,0,0,0,0
270,1,1.0,0,0,1,0,1,3,0,0,0,82.0,2.0,0,6,0,0,1,0,0,0,0,0,0,0,0,0
271,1,1.0,0,2,1,0,1,1,0,0,0,384.0,1.0,1,6,0,0,0,1,0,0,0,0,0,0,0,0
272,1,3.0,0,0,0,0,1,1,0,0,0,89.0,3.0,0,11,0,0,0,0,1,0,0,0,0,0,0,0
273,2,1.0,0,0,0,0,1,2,2,1,1,406.0,2.0,1,2,0,0,0,0,0,0,0,0,0,0,0,1
274,0,3.0,0,0,0,0,1,4,2,2,1,204.0,2.0,0,7,0,0,0,0,0,1,0,0,0,0,0,0
276,1,1.0,0,1,1,0,1,4,0,0,0,1023.0,3.0,1,5,0,0,0,0,0,0,0,0,0,0,1,0
277,1,3.0,0,0,0,0,1,1,0,0,0,166.0,1.0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
278,2,2.0,0,0,1,0,1,1,0,0,0,99.0,2.0,0,7,0,0,0,0,1,0,0,0,0,0,0,0
279,1,1.0,1,0,1,0,1,1,0,0,0,394.0,1.0,1,7,0,0,1,0,0,0,0,0,0,0,0,0
280,1,1.0,0,0,1,0,1,3,0,0,0,198.0,0.0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
282,2,3.0,0,0,0,0,1,1,0,0,1,700.0,3.0,1,6,0,0,0,0,0,0,0,1,0,0,0,0
283,1,1.0,0,0,1,1,1,1,0,0,0,266.0,1.0,0,5,0,0,0,0,0,0,0,0,1,0,0,0
284,0,3.0,0,0,0,0,1,1,0,0,1,978.0,1.0,1,8,0,0,0,0,0,1,0,0,0,0,0,0
285,2,1.0,0,0,0,0,1,2,10,1,1,187.0,3.0,0,10,0,0,0,0,0,0,1,0,0,0,0,0
287,0,3.0,0,3,0,0,1,3,3,0,1,285.0,1.0,0,9,0,0,0,0,0,0,0,0,0,1,0,0
288,1,1.0,0,0,1,0,1,2,4,0,0,117.0,2.0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
